key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,Classe
saida_digital_slot1,do105,DO105,M,,16020,%MB,Saída digital 5 - Slot 1,io_fisica
saida_digital_slot1,do106,DO106,M,,16021,%MB,Saída digital 6 - Slot 1,io_fisica
saida_digital_slot1,do107,DO107,M,,16022,%MB,Saída digital 7 - Slot 1,io_fisica
saida_digital_slot1,do108,DO108,M,,16023,%MB,Saída digital 8 - Slot 1,io_fisica
saida_digital_slot1,do109,DO109,M,,16024,%MB,Saída digital 9 - Slot 1,io_fisica
saida_digital_slot1,do110,DO110,M,,16025,%MB,Saída digital 10 - Slot 1,io_fisica
saida_digital_slot1,do111,DO111,M,,16026,%MB,Saída digital 11 - Slot 1,io_fisica
saida_digital_slot1,do112,DO112,M,,16027,%MB,Saída digital 12 - Slot 1,io_fisica
saida_digital_slot1,do113,DO113,M,,16028,%MB,Saída digital 13 - Slot 1,io_fisica
saida_digital_slot1,do114,DO114,M,,16029,%MB,Saída digital 14 - Slot 1,io_fisica
saida_digital_slot1,do115,DO115,M,,16030,%MB,Saída digital 15 - Slot 1,io_fisica
saida_digital_slot1,do116,DO116,M,,16031,%MB,Saída digital 16 - Slot 1,io_fisica
saida_digital_slot2,do201,DO201,M,,16032,%MB,Saída digital 1 - Slot 2,io_fisica
saida_digital_slot2,do202,DO202,M,,16033,%MB,Saída digital 2 - Slot 2,io_fisica
saida_digital_slot2,do203,DO203,M,,16034,%MB,Saída digital 3 - Slot 2,io_fisica
saida_digital_slot2,do204,DO204,M,,16035,%MB,Saída digital 4 - Slot 2,io_fisica
saida_digital_slot2,do205,DO205,M,,16036,%MB,Saída digital 5 - Slot 2,io_fisica
saida_digital_slot2,do206,DO206,M,,16037,%MB,Saída digital 6 - Slot 2,io_fisica
saida_digital_slot2,do207,DO207,M,,16038,%MB,Saída digital 7 - Slot 2,io_fisica
saida_digital_slot2,do208,DO208,M,,16039,%MB,Saída digital 8 - Slot 2,io_fisica
saida_digital_slot2,do209,DO209,M,,16040,%MB,Saída digital 9 - Slot 2,io_fisica
saida_digital_slot2,do210,DO210,M,,16041,%MB,Saída digital 10 - Slot 2,io_fisica
saida_digital_slot2,do211,DO211,M,,16042,%MB,Saída digital 11 - Slot 2,io_fisica
saida_digital_slot2,do212,DO212,M,,16043,%MB,Saída digital 12 - Slot 2,io_fisica
saida_digital_slot2,do213,DO213,M,,16044,%MB,Saída digital 13 - Slot 2,io_fisica
saida_digital_slot2,do214,DO214,M,,16045,%MB,Saída digital 14 - Slot 2,io_fisica
saida_digital_slot2,do215,DO215,M,,16046,%MB,Saída digital 15 - Slot 2,io_fisica
saida_digital_slot2,do216,DO216,M,,16047,%MB,Saída digital 16 - Slot 2,io_fisica
saida_analogica_base,ao1,AO1,D,,5003,%MW,Saída analógica 1,io_fisica
saida_analogica_slot1,ao101,AO101,D,,5004,%MW,Saída analógica 1 - Slot 1,io_fisica
saida_analogica_slot1,ao102,AO102,D,,5005,%MW,Saída analógica 2 - Slot 1,io_fisica
saida_analogica_slot2,ao201,AO201,D,,5006,%MW,Saída analógica 1 - Slot 2,io_fisica
saida_analogica_slot2,ao202,AO202,D,,5007,%MW,Saída analógica 2 - Slot 2,io_fisica
